,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition,genotype
4051,-61.05,0.1315520201179581,3.867030622849346,14.814491310468904,0.1769987261325449,0.2517985762160233,127.05,57.01300873017299,2,L,HH,quad
4052,-61.05,0.1503716787904261,4.109803534706597,14.245001704959437,0.2117347371459039,0.3201243381138685,127.05,58.46386347385892,2,L,HH,quad
4053,,,,,,,139.0573,59.48848487125546,2,L,HH,quad
4054,,,,,,,139.0573,62.09672817523989,2,L,HH,quad
4055,,,,,,,139.0573,64.14285703577721,2,L,HH,quad
4056,,,,,,,151.0543,65.68412326855974,2,L,HH,quad
4057,,,,,,,139.0573,67.69984566849982,2,L,HH,quad
4058,,,,,,,151.0543,72.97413241421981,2,L,HH,quad
4059,,,,,,,163.0541,74.29950134194418,2,L,HH,quad
4060,-13.0501,0.1051212277975428,7.598415166721513,19.51237122950247,0.0655045062943729,0.1831047939565281,31.0501,1.51862685493343,1,R,HH,quad
4061,-25.0483,0.228985098418493,13.776706331674836,14.728813728900398,0.0624948311951527,0.3167342427886824,55.0483,8.679687042827895,1,R,HH,quad
4062,-31.055800000000005,0.2372213965470305,16.341570703002763,22.680817066290352,0.0463548495722051,0.2786727423847251,67.0558,11.333311529978808,1,R,HH,quad
4063,-25.0483,0.1723063041200039,11.148705626149866,21.23994291876296,0.0562308625909632,0.2306241124697925,55.0483,11.891093819725349,1,R,HH,quad
4064,-37.0539,0.1917321045444871,9.704645097936757,14.363769240741194,0.0744940319819182,0.2659540797904278,79.0539,13.246387775591195,2,R,HH,quad
4065,-37.0539,0.2705932315867921,14.193673344012486,14.715179570260988,0.0621930059197708,0.3247445504235587,79.0539,13.55445865562532,2,R,HH,quad
4066,-37.0539,0.1403857706690914,7.923221943181359,19.98047959771665,0.0663106666120869,0.1932816984858811,79.0539,15.290773598470077,2,R,HH,quad
4067,-43.0539,0.1564638186361274,8.642644385615,20.53016193777026,0.0621077811760287,0.1974686585711019,91.0539,17.24676568009061,2,R,HH,quad
4068,-43.0539,0.2180359738517289,17.442843869296123,32.38534887334442,0.051597991164489,0.3310972741784134,91.0539,18.737221645894365,2,R,HH,quad
